 Experiment number: ,,#210
 Experiment date: ,,November-22-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-22-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"0"""
Analysis Start@:,,"0"""
Dstance Traveled:,,    549.25(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
91590,91628,38,Twitch,Floor(Night),
91628,94780,3152,Sleep,Floor(Night),
94780,94812,32,Twitch,Floor(Night),
94812,94869,57,Sleep,Floor(Night),
94869,94953,84,Twitch,Floor(Night),
94953,94991,38,Sleep,Floor(Night),
94991,95004,13,Twitch,Floor(Night),
95004,95035,31,Sleep,Floor(Night),
95035,95335,300,Twitch,Floor(Night),
95335,95336,1,Awaken,Floor(Night),
95336,95415,79,Remain Low,face-front/back,Floor(Night),
95415,95421,6,Turn,Floor(Night),
95421,95511,90,Remain Low,Floor(Night),
95511,95523,12,Stretch Body,Floor(Night),
95523,95529,6,Walk Right,Floor(Night),
95529,95547,18,Stretch Body,RightWall(Night),
95547,95562,15,Unknown Behavior,RightWall(Night),
95562,95610,48,Remain Low,face-front/back,RightWall(Night),
95610,95619,9,Stretch Body,RightWall(Night),
95619,95628,9,Remain Low,RightWall(Night),
95628,95658,30,Stretch Body,RightWall(Night),
95658,95664,6,Remain Low,RightWall(Night),
95664,95672,8,Stretch Body,RightWall(Night),
95672,95895,223,Remain Low,RightWall(Night),
95895,95901,6,Rear up Partially,RightWall(Night),
95901,95961,60,Remain Partially Reared,RightWall(Night),
95961,95967,6,Come Down From Partially Reared,RightWall(Night),
95967,96172,205,Pause,RightWall(Night),
96172,96183,11,Remain Low,,
96183,96192,9,Rear up Partially,RightWall(Night),
96192,96198,6,Come Down From Partially Reared,RightWall(Night),
96198,96294,96,Remain Low,RightWall(Night),
96294,96300,6,Turn,face-front/back,RightWall(Night),
96300,96348,48,Remain Low,RightWall(Night),
96348,96354,6,Turn,RightWall(Night),
96354,96360,6,Turn,face-front/back,RightWall(Night),
96360,96366,6,Turn,RightWall(Night),
96366,96381,15,Remain Low,RightWall(Night),
96381,96390,9,Turn,face-front/back,RightWall(Night),
96390,96408,18,Remain Low,RightWall(Night),
96408,96414,6,Turn,RightWall(Night),
96414,96456,42,Remain Low,RightWall(Night),
96456,96465,9,Rear up Partially,RightWall(Night),
96465,96471,6,Come Down From Partially Reared,RightWall(Night),
96471,96537,66,Remain Low,RightWall(Night),
96537,96543,6,Rear up Partially,RightWall(Night),
96543,96549,6,Come Down From Partially Reared,RightWall(Night),
96549,96741,192,Stretch Body,RightWall(Night),
96741,96747,6,Stationary,RightWall(Night),
96747,96783,36,Remain Partially Reared,RightWall(Night),
96783,96789,6,Come Down From Partially Reared,RightWall(Night),
96789,96848,59,Remain Low,RightWall(Night),
96848,97017,169,Pause,,
