 Experiment number: ,,#202
 Experiment date: ,,November-12-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-12-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"171:59'16"""
Analysis Start@:,,"167:59'17"""
Dstance Traveled:,,    413.85(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
65696,65708,12,Remain Low,RightWall(Night),
65708,65714,6,Turn,face-front/back,RightWall(Night),
65714,65756,42,Remain Low,RightWall(Night),
65756,65762,6,Rear up Partially,RightWall(Night),
65762,65768,6,Come Down From Partially Reared,RightWall(Night),
65768,65774,6,Remain Low,RightWall(Night),
65774,65780,6,Rear up Partially,RightWall(Night),
65780,65786,6,Come Down From Partially Reared,RightWall(Night),
65786,65846,60,Remain Low,RightWall(Night),
65846,65852,6,Turn,RightWall(Night),
65852,65870,18,Remain Low,RightWall(Night),
65870,65876,6,Turn,face-front/back,RightWall(Night),
65876,66068,192,Remain Low,RightWall(Night),
66068,66074,6,Rear up Partially,RightWall(Night),
66074,66080,6,Remain Partially Reared,RightWall(Night),
66080,66086,6,Come Down From Partially Reared,RightWall(Night),
66086,66212,126,Remain Low,RightWall(Night),
66212,66218,6,Rear up Partially,RightWall(Night),
66218,66224,6,Remain Partially Reared,RightWall(Night),
66224,66230,6,Come Down From Partially Reared,RightWall(Night),
66230,66236,6,Remain Low,RightWall(Night),
66236,66242,6,Rear up Partially,RightWall(Night),
66242,66254,12,Remain Partially Reared,RightWall(Night),
66254,66260,6,Come Down From Partially Reared,RightWall(Night),
66260,66266,6,Remain Low,RightWall(Night),
66266,66272,6,Rear up Partially,RightWall(Night),
66272,66278,6,Remain Partially Reared,RightWall(Night),
66278,66284,6,Come Down From Partially Reared,RightWall(Night),
66284,66290,6,Remain Low,RightWall(Night),
66290,66296,6,Rear up Partially,RightWall(Night),
66296,66302,6,Remain Partially Reared,RightWall(Night),
66302,66308,6,Come Down From Partially Reared,RightWall(Night),
66308,66314,6,Remain Low,RightWall(Night),
66314,66320,6,Rear up Partially,RightWall(Night),
66320,66326,6,Remain Partially Reared,RightWall(Night),
66326,66332,6,Come Down From Partially Reared,RightWall(Night),
66332,66338,6,Remain Partially Reared,RightWall(Night),
66338,66344,6,Come Down From Partially Reared,RightWall(Night),
66344,66362,18,Remain Low,RightWall(Night),
66362,66368,6,Turn,RightWall(Night),
66368,66465,97,Remain Low,RightWall(Night),
66465,66782,317,Groom,PLF<-HdW,RightWall(Night),
66782,66849,67,Remain Low,RightWall(Night),
66849,66855,6,Turn,RightWall(Night),
66855,66864,9,Turn,RightWall(Night),
66864,66870,6,Remain Low,face-front/back,RightWall(Night),
66870,66876,6,Turn,RightWall(Night),
66876,66984,108,Remain Low,RightWall(Night),
66984,66990,6,Turn,RightWall(Night),
66990,67045,55,Remain Low,RightWall(Night),
67045,67159,114,Pause,Night,
67659,68012,353,Groom,PLF<-HdW,RightWall(Night),
68012,68187,175,Remain Low,RightWall(Night),
68187,68193,6,Turn,RightWall(Night),
68193,68229,36,Remain Low,face-front/back,RightWall(Night),
68229,68235,6,Turn,RightWall(Night),
68235,68319,84,Remain Low,RightWall(Night),
68319,68325,6,Turn,face-front/back,RightWall(Night),
68325,68373,48,Remain Low,RightWall(Night),
68373,68379,6,Turn,RightWall(Night),
68379,68385,6,Turn,face-front/back,RightWall(Night),
